beruf,isco_code,beschaeftigte_1000,frauen_pct,branche,lohn_median_chf,qualifikation,esco_uri,esco_titel,esco_beschreibung,beschreibung_quelle
Restaurantfachmann/-frau EFZ,5131,22.0,62.0,Gastgewerbe,52000,Sekundär II,http://data.europa.eu/esco/occupation/6ba25e0f-7fb8-4879-a1f9-d4f8945966be,Kameramann/Kamerafrau,"Kameramänner/ Kamerafrauen sind für die visuelle Interpretation des Drehbuchs und sämtliche fotografische Aspekte des Films verantwortlich, einschließlich Bildeinstellungen, Farben, Licht, Stil und Drehorte. Sie geben dem Film bzw. der Fernsehsendung ein optisches Erscheinungsbild und wählen die Drehausrüstung aus, einschließlich der Objektive und Filter. Bildgestaltende Kameramänner/-frauen leiten die Teams an, die die optischen Geräte und die Beleuchtung bedienen. Um die gewünschte Wirkung zu erzielen, arbeiten sie mit dem Film- und Fernsehregisseur/der Film- und Fernsehregisseurin zusammen.",ESCO
Sozialpädagoge/-pädagogin,2635,22.0,65.0,Soziales,82000,Tertiär,http://data.europa.eu/esco/occupation/fa4a3b52-990c-44eb-a912-490f5d689400,Sozialpädagoge/Sozialpädagogin,"Sozialpädagogen bieten Kindern und jungen Menschen mit unterschiedlichem Hintergrund oder unterschiedlichen Fähigkeiten Betreuung, Unterstützung und Bildung. Sie konzipieren Bildungsprozesse, bei denen die jungen Menschen selbst Verantwortung übernehmen müssen. Dabei verfolgen sie einen multidisziplinären Ansatz, der auf die Lernerfahrung ausgerichtet ist. Sozialpädagogen tragen zum Lernen, zum Wohlergehen und zur gesellschaftlichen Eingliederung von Menschen bei und legen Wert auf die Förderung ihrer Eigenständigkeit.",ESCO
Kindergärtnerin/-gärtner,2342,22.0,96.0,Bildung,95000,Tertiär,http://data.europa.eu/esco/occupation/55d60ead-0343-4008-b9e4-fb4b5a179c83,Lehrkraft für Vorschulerziehung,"Lehrkräfte für Vorschulerziehung unterrichten Schülerinnen und Schüler – hauptsächlich kleine Kinder – in grundlegenden Fächern und kreativem Spielen, um ihre sozialen und intellektuellen Fähigkeiten auf lockere Weise zu fördern und sie auf das spätere Lernen in einem offizielleren Umfeld vorzubereiten. Sie erstellen (gegebenenfalls anhand eines festen Lehrplans) Unterrichtspläne für eine Klasse oder kleinere Gruppen und testen die Schülerinnen und Schüler in Bezug auf die Lerninhalte. Diese Unterrichtspläne für grundlegende Fächer umfassen z. B. das Erkennen von Zahlen, Buchstaben und Farben, die Wochentage und verschiedene Tierarten und Verkehrsmittel. Lehrkräfte für Vorschulerziehung beaufsichtigen Schülerinnen und Schüler außerdem außerhalb des Unterrichts auf dem Schulgelände und setzen Verhaltensregeln durch.",ESCO
Arzt/Ärztin (Allgemeinmedizin),2211,22.0,47.0,Gesundheit,165000,Tertiär,http://data.europa.eu/esco/occupation/71f09c8b-a172-408c-b9e7-32e580e39ff6,Arzt für Allgemeinmedizin/Ärztin für Allgemeinmedizin,"Ärzte für Allgemeinmedizin/Ärztinnen für Allgemeinmedizin fördern die Gesundheit, beugen gesundheitlichen Beschwerden vor, identifizieren gesundheitliche Beschwerden, diagnostizieren und behandeln Erkrankungen und fördern die Genesung körperlicher und psychischer Krankheiten und Störungen aller Art, unabhängig vom Alter, dem Geschlecht oder den Beschwerden der Betroffenen.",ESCO
Systemadministrator/in,2522,22.0,12.0,ICT,110000,Tertiär,http://data.europa.eu/esco/occupation/9e2e6e1e-363b-4e1b-a673-7bc0f7343300,IT-Systemadministrator/IT-Systemadministratorin,"IT-Systemadministratoren sind für die Wartung, Konfiguration und den zuverlässigen Betrieb von Computer- und Netzwerksystemen, Servern, Computerarbeitsplätzen und Peripheriegeräten zuständig. Bisweilen beschaffen, installieren oder aktualisieren sie Computerkomponenten und Software, automatisieren Routineaufgaben und schreiben Computerprogramme. Sie gewährleisten eine optimale Integrität, Sicherheit, Sicherung und Leistung des Systems.",ESCO
Polymechaniker/in EFZ,7223,22.0,5.0,Industrie,78000,Sekundär II,http://data.europa.eu/esco/occupation/269c47e7-9017-4aa6-bce8-49e89a696a64,Industriemechaniker/Industriemechanikerin,"Industriemechaniker arbeiten an neuen und bereits in Betrieb befindlichen Maschinen und Geräten. Sie bereiten die Installation der spezifischen Anlage vor und fertigen bei Bedarf Zubehör, führen Wartungsarbeiten und Reparaturen durch und diagnostizieren Fehler in Systemen oder verschlissene Teile.",ESCO
Produktionsleiter bei der Herstellung von Waren,3122,22.0,17.7,Industrie,88000,Sekundär II,http://data.europa.eu/esco/occupation/83191970-020d-4350-b2e0-be971533d286,Produktionsleiter Elektronik/Produktionsleiterin Elektronik,"Produktionsleiter Elektronik koordinieren, planen und leiten die Herstellung elektronischer Produkte. Sie leiten die in der Produktion tätigen Arbeitskräfte an, überwachen die Qualität der Produkte und sind für das Kosten- und Ressourcenmanagement zuständig.",ESCO
Projektleiter/in (Technik),2149,22.0,18.0,Industrie,125000,Tertiär,http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5,Projektmanager/Projektmanagerin,"Projektmanager/Projektmanagerinnen stellen sicher, dass ein Projekt rechtzeitig und ohne Budgetüberschreitung abgeschlossen wird und die Projektziele erreicht werden. Sie beaufsichtigen das Projekt, leiten das Team, stellen sicher, dass die effizientesten Ressourcen eingesetzt werden, und sorgen dafür, dass alle Beteiligten zufrieden sind.",ESCO
"Führungskräfte in der Beschaffung, Logistik und in verwandten Bereichen",1324,21.1,24.2,Gastgewerbe,85000,Tertiär,http://data.europa.eu/esco/occupation/a2ff6cc3-15fa-4f02-a457-8fd5df7aa29e,Führungskraft für intermodale Logistik,Führungskräfte für intermodale Logistik verwalten und beaufsichtigen gewerbliche und betriebliche Aspekte der intermodalen Logistik für ein Unternehmen.,ESCO
Polizisten (ohne Polizeikommissare),5412,20.5,22.6,Öff. Verwaltung,88000,Sekundär II,http://data.europa.eu/esco/occupation/5793c124-c037-47b2-85b6-dd4a705968dc,Polizist/Polizistin,"Polizisten wenden Ermittlungsmethoden an, um Straftaten zu verhüten, Straftäter zu verfolgen und festzunehmen und die Öffentlichkeit vor Gewalttaten und kriminellen Aktivitäten zu schätzen. Sie führen Überwachungs- und Patrouillentätigkeiten durch, um Straftaten zu verhindern und Täter festzunehmen. Sie unterstützen die Opfer von Straftaten und die breite Öffentlichkeit und erfüllen auch Verwaltungsaufgaben.",ESCO
Treuhänder/in,2412,20.0,48.0,Finanzen,105000,Tertiär,http://data.europa.eu/esco/occupation/7284ccbf-e2fd-4e2f-8bbf-bc54eab610d5,Privater Vermögensverwalter/private Vermögensverwalterin,"Private Vermögensverwalter/private Vermögensverwalterinnen überwachen und verwalten Privatvermögen. Sie legen die vermögensbezogenen und testamentarischen Unterlagen entsprechend aus und tauschen sich mit Finanzberatern/-beraterinnen aus, um das Anlageziel im Einklang mit den Vermögenszielen festzulegen, stimmen den Wertpapierkauf und -verkauf mit Kontoführern/-führerinnen ab und prüfen die Kundenkonten regelmäßig.",ESCO
Controller/in,2411,20.0,42.0,Finanzen,110000,Tertiär,http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897,Controller/Controllerin,"Controller/Controllerinnen prüfen und analysieren Jahresabschlüsse, Budgets, Finanzberichte und Geschäftspläne auf fehlerbedingte oder betrügerische Unregelmäßigkeiten und beraten ihre Kunden zu Themen wie Finanzprognose und Risikoanalyse.  Sie können Finanzdaten prüfen, Insolvenzfälle verwalten, Steuererklärungen erstellen und in Bezug auf die geltenden Rechtsvorschriften weitere Steuerberatung anbieten.",ESCO
Maschinenbauingenieur/in,2144,20.0,12.0,Industrie,120000,Tertiär,http://data.europa.eu/esco/occupation/579254cf-6d69-4889-9000-9c79dc568644,Maschinenbauingenieur/Maschinenbauingenieurin,"Maschinenbauingenieure/Maschinenbauingenieurinnen planen und entwerfen mechanische Produkte und Systeme und überwachen die Herstellung, den Betrieb, die Anwendung, den Einbau und die Reparatur von Systemen und Produkten. Sie recherchieren und analysieren Daten.",ESCO
Rechtsanwalt/-anwältin,2611,20.0,35.0,Recht,155000,Tertiär,http://data.europa.eu/esco/occupation/974d4eab-fbee-4c52-b16e-73bdd8c25b53,Rechtsanwalt/Rechtsanwältin,"Rechtsanwälte bieten ihren Mandanten Rechtsberatung und vertreten sie in Gerichtsverfahren im Einklang mit dem Gesetz. Sie vertreten ihre Mandaten in verschiedenen Situationen, beispielsweise vor Gerichten, Gremien oder Behörden, und recherchieren, interpretieren und studieren Rechtssachen. Im Namen ihrer Mandanten entwickeln sie in unterschiedlichen Kontexten Argumentationen für Gerichtsverfahren, um Rechtsmittel geltend zu machen.",ESCO
Logistiker/in EFZ,3331,20.0,25.0,Transport,65000,Sekundär II,,Logistiker/in EFZ,"Logistikerinnen und Logistiker EFZ planen, organisieren und überwachen Waren- und Materialflüsse in Lager-, Transport- und Verteilzentren. Sie sind verantwortlich für die sachgerechte Lagerung, das Kommissionieren von Bestellungen, die Verwaltung von Beständen sowie die Vorbereitung von Transporten und arbeiten dabei mit modernen Lagermanagementsystemen und digitalen Tracking-Tools. Das Arbeitsumfeld ist geprägt durch physische Tätigkeiten, Teamarbeit und hohe Anforderungen an Sorgfalt und Effizienz, insbesondere in logistischen Drehscheibenbetrieben der Schweiz mit ihren hohen Standards für Pünktlichkeit und Qualität. Die Ausbildung erfolgt im dualen System mit praktischer Arbeit im Betrieb und theoretischem Unterricht an der Berufsschule und bereitet auf die Abschlussprüfung vor, die in einem der drei Schweizer Landessprachen absolviert werden kann. Nach dem EFZ-Abschluss bestehen",Haiku-generiert
Küchenhilfe,9412,20.0,60.0,Gastgewerbe,44000,Keine Ausbildung,http://data.europa.eu/esco/occupation/e1cf6897-158d-4b48-a39e-2a3a8cac216c,Küchenhilfe,Küchenhilfen unterstützen bei der Zubereitung von Speisen und der Reinigung des Küchenbereichs.,ESCO
Führungskräfte im Bereich Finanzen,1211,19.9,39.0,Verwaltung,120000,Tertiär,http://data.europa.eu/esco/occupation/788a9895-a39a-4a83-be90-e006e2f8dce5,Führungskraft im Bereich Rohrleitungstransport,"Führungskräfte im Bereich Rohrleitungstransport geben die allgemeine Richtung von Rohrleitungstransportvorhaben vor und leiten deren Umsetzung. Sie sehen die Planung, die Streckenwahl, die Ressourcenverwaltung und die täglichen Abläufe vor. Sie entwickeln eine langfristige Vorstellung, die die Effizienz der Anlage gewährleistet.",ESCO
"Sportlehrer, Sporttrainer und Sportfunktionäre",3422,18.5,50.0,Soziales,72000,Sekundär II,http://data.europa.eu/esco/occupation/3e9c1262-4fe2-4eb1-bf94-4fe64498393a,Sportlehrer/Sportlehrerin,"Sportlehrer bieten in der Sportart, auf die sie spezialisiert sind, Unterricht für Teilnehmer aus bestimmten oder allen Altersgruppen in deren Freizeit an. Sie stellen fest, über welche Fähigkeiten die Teilnehmer bereits verfügen, und steigern die körperliche und geistige Fitness der von ihnen unterrichteten Gruppen oder Einzelpersonen durch geeignete Trainingsprogramme. Sie schaffen das optimale Umfeld für die Weiterentwicklung der Teilnehmer, versetzen sie in die Lage, ihre Leistung zu maximieren, und wecken zugleich ihren Sportsgeist. Außerdem verfolgen Sportlehrer die Fortschritte der Teilnehmer und geben bei Bedarf eine individuelle Anleitung. Sie überwachen Sporteinrichtungen und Umkleideräume und halten Mannschaftskleidung und Sportgeräte instand.",ESCO
Sekretariatsleiter,3341,18.1,54.8,Finanzen,82000,Sekundär II,http://data.europa.eu/esco/occupation/6e6839b6-099c-4802-906e-7f2c8203ee69,Büroleiter/Büroleiterin,"Büroleiter beaufsichtigen die Tätigkeiten, mit denen Büroangestellte in Organisationen oder Vereinigungen verschiedener Art betraut werden. Sie leisten Mikromanagement und beaufsichtigen kleinteilige Verwaltungsaufgaben, d. h., sie kontrollieren den Schriftverkehr, gestalten Ablagesysteme, prüfen und genehmigen Bestellungen und übernehmen die Zuweisung und Kontrolle von Arbeitsaufgaben im Büro. Je nach Größe des Unternehmens unterstehen sie Managern innerhalb derselben Abteilung oder den Führungskräften des Gesamtunternehmens.",ESCO
Führungskräfte in Restaurants,1412,18.0,49.4,Gastgewerbe,75000,Tertiär,http://data.europa.eu/esco/occupation/a2ff6cc3-15fa-4f02-a457-8fd5df7aa29e,Führungskraft für intermodale Logistik,Führungskräfte für intermodale Logistik verwalten und beaufsichtigen gewerbliche und betriebliche Aspekte der intermodalen Logistik für ein Unternehmen.,ESCO
Servicemitarbeiter/in,5131,18.0,58.0,Gastgewerbe,48000,Sekundär II,http://data.europa.eu/esco/occupation/9653fb92-ad48-4865-a471-f270302fa93b,Reiseberater der Bahn/Reiseberaterin der Bahn,"Reiseberater der Bahn kümmern sich um Kunden am Bahnhof, beantworten ihre Fragen und reagieren schnell und sicher auf unerwartete Situationen. Sie erteilen Auskünfte, leisten Mobilitätshilfe und sorgen für Sicherheit in Bahnhöfen. Sie geben präzise und aktuelle Auskünfte über Ankunfts- und Abfahrtszeiten sowie Zugverbindungen und helfen den Kunden bei der Reiseplanung.",ESCO
Produktionsmitarbeiter/in (Pharma),8211,18.0,42.0,Industrie,68000,Sekundär II,http://data.europa.eu/esco/occupation/d3382c5a-589f-453d-a6d8-d28695057079,Pharmatechnologe/Pharmatechnologin,"Pharmatechnologen kontrollieren und warten die Geräte und Tanks für die Herstellung aktiver und funktioneller Inhaltsstoffe für Arzneimittel, wie Antibiotika oder Vitamine. Sie arbeiten außerdem in der Herstellung von Kosmetika oder Körperpflegemitteln.",ESCO
Architekt/in,2161,18.0,38.0,Bau,110000,Tertiär,http://data.europa.eu/esco/occupation/8c3f536e-ba66-4321-ba40-363dc39f129b,Architekt/Architektin,"Architekten/Architektinnen untersuchen, entwerfen und beaufsichtigen den Bau und die Entwicklung von Gebäuden, städtischen Räumen, Infrastrukturprojekten und sozialen Räumen. Bei ihren Entwürfen berücksichtigen sie die Umgebung und die lokal geltenden Rechtsvorschriften sowie verschiedene Faktoren, z. B. Funktionalität, Ästhetik, Kosten, öffentliche Gesundheit und Sicherheit. Sie kennen soziale Kontexte und Umweltfaktoren, zu denen auch die Beziehungen zwischen Menschen und Gebäuden und zwischen Gebäuden und der Umwelt gehören. Sie beteiligen sich an multidisziplinären Projekten, die auf die Entwicklung des sozialen Gefüges eines geografischen Gebiets und die Förderung von Projekten der sozialen Stadtentwicklung ausgerichtet sind. ",ESCO
IT-Projektleiter/in,2511,18.0,18.0,ICT,130000,Tertiär,http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5,Projektmanager/Projektmanagerin,"Projektmanager/Projektmanagerinnen stellen sicher, dass ein Projekt rechtzeitig und ohne Budgetüberschreitung abgeschlossen wird und die Projektziele erreicht werden. Sie beaufsichtigen das Projekt, leiten das Team, stellen sicher, dass die effizientesten Ressourcen eingesetzt werden, und sorgen dafür, dass alle Beteiligten zufrieden sind.",ESCO
Zimmermann/-frau EFZ,7115,18.0,2.0,Bau,76000,Sekundär II,http://data.europa.eu/esco/occupation/2a22ff9e-de3b-408d-b312-5034896cc4f4,Zimmerer/Zimmerin,"Zimmerer sägen, formen und montieren Holzelemente für Gebäude und andere Bauwerken. Sie verwenden für ihre Arbeit auch Materialien wie Kunststoffe und Metalle. Zimmerer fertigen die Rahmen für nach der Holrahmenbauweise errichtete Häuser.",ESCO
Finanzanalyst/in,2413,18.0,33.0,Finanzen,140000,Tertiär,http://data.europa.eu/esco/occupation/8d586ee9-0ab1-4155-a3b0-2ca786c8e48c,Finanzanalyst/Finanzanalystin,"Finanzanalysten führen wirtschaftliche Recherchen durch und erstellen aussagekräftige Analysen zu Finanzthemen wie Rentabilität, Liquidität, Solvenz und Vermögensverwaltung. Sie geben Empfehlungen zu Finanzfragen ab, um Entscheidungsprozesse zu unterstützen. Finanzanalysten arbeiten sowohl im öffentlichen als auch im privaten Sektor.",ESCO
Polizist/in,3355,18.0,22.0,Öff. Verwaltung,95000,Sekundär II,http://data.europa.eu/esco/occupation/5793c124-c037-47b2-85b6-dd4a705968dc,Polizist/Polizistin,"Polizisten wenden Ermittlungsmethoden an, um Straftaten zu verhüten, Straftäter zu verfolgen und festzunehmen und die Öffentlichkeit vor Gewalttaten und kriminellen Aktivitäten zu schätzen. Sie führen Überwachungs- und Patrouillentätigkeiten durch, um Straftaten zu verhindern und Täter festzunehmen. Sie unterstützen die Opfer von Straftaten und die breite Öffentlichkeit und erfüllen auch Verwaltungsaufgaben.",ESCO
Gymnasiallehrer/in,2330,18.0,46.0,Bildung,120000,Tertiär,http://data.europa.eu/esco/occupation/5efb2c08-ba3a-4659-a2e4-1883f54e77b6,Lehrkraft Sekundarstufe,"Lehrkräfte Sekundarstufe unterrichten Schülerinnen und Schüler, in der Regel Kinder und junge Erwachsene, in einer Schule des Sekundarbereichs. Sie sind in der Regel Fachlehrkräfte, die in dem Fach ihrer Spezialisierung unterrichten. Sie erstellen Unterrichtspläne und -materialien, beobachten die Fortschritte der Schülerinnen und Schüler, bieten bei Bedarf ihre individuelle Hilfestellung und bewerten die Kenntnisse der Schülerinnen und Schüler anhand von Aufgaben, Tests und Prüfungen.",ESCO
Physiotherapeut/in,2264,18.0,75.0,Gesundheit,78000,Tertiär,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,Physiotherapeut/Physiotherapeutin,"Physiotherapeuten/Physiotherapeutinnen sind selbstständige Angehörige von Gesundheitsberufen, die auf der Grundlage evidenzbasierter praktischer Erkenntnisse für die Entwicklung, Aufrechterhaltung oder Wiederherstellung motorischer Funktionen und Bewegungen zuständig sind. Sie lindern Schmerzen und behandeln oder verhindern körperliche Leiden im Zusammenhang mit Verletzungen, Krankheiten oder sonstigen Beeinträchtigungen. Physiotherapeuten/Physiotherapeutinnen können Patienten/Patientinnen und ihre Betreuer/Betreuerinnen in die Lage versetzen, die Beschwerden ohne klinische Behandlungsmaßnahmen zu lindern. Sie arbeiten in ihrem Fachgebiet und entsprechend ihrem Verhaltenskodex. ",ESCO
Coiffeur/Coiffeuse EFZ,5141,18.0,88.0,Dienstleistungen,48000,Sekundär II,http://data.europa.eu/esco/occupation/099c6bb0-22d3-4c5d-8bf5-70910af381ef,Friseur/Friseurin,"Friseure bieten Dienstleistungen im Bereich Schönheitspflege an, beispielsweise das Schneiden, Färben und Frisieren von Haaren oder Dauerwellenbehandlungen. Sie befragen die Kunden zu ihren Frisurwünschen, um sie individuell zu bedienen. Friseure verwenden Haarschneidemaschinen, Scheren und Rasierapparate. Sie bieten Haar- und Kopfhautbehandlungen und behandeln das Haar mit Shampoo, Pflegeprodukten und Spülungen.",ESCO
Unternehmensberater/in,2421,18.0,35.0,Beratung,140000,Tertiär,http://data.europa.eu/esco/occupation/6a29d804-f775-446c-bec7-35fc4e28ac97,Unternehmensberater/Unternehmensberaterin,"Unternehmensberater analysieren die Lage, die Struktur und die Prozesse von Unternehmen und bieten Dienste oder Beratung zu deren Verbesserung an. Sie stellen fest, ob die Geschäftsprozesse z. B. im Hinblick auf die finanzielle Effizienz oder die Mitarbeiterführung Mängel aufweisen, und entwickeln strategische Pläne, um diese Schwierigkeiten zu überwinden. Sie arbeiten in externen Beratungsunternehmen, um eine objektive Sicht auf die Geschäftstätigkeit und die Struktur eines Unternehmens und seine methodischen Prozesse zu bieten.",ESCO
Sachbearbeiter/in HR,4416,18.0,72.0,Verwaltung,82000,Sekundär II,http://data.europa.eu/esco/occupation/fd0801c9-809a-4cfd-98ed-6c5860c163f2,Sachbearbeiter im Investmentbereich/Sachbearbeiterin im Investmentbereich,"Sachbearbeiter im Investmentbereich unterstützen die Verwaltung von Investitionen in Aktien, Anleihen oder andere Wertpapiere und führen im Investitionsbereich eines Finanzunternehmens allgemeine Büroarbeiten aus.",ESCO
Lieferwagenfahrer/in,8322,18.0,5.0,Transport,55000,Sekundär II,http://data.europa.eu/esco/occupation/45037d43-a8f5-4f46-b332-b2935bc305f4,cargo vehicle driver,Lastkraftwagenfahrer bedienen Fahrzeuge wie Lastkraftwagen und Lieferwagen. Sie können auch das Auf- und Abladen von Ladung übernehmen.,ESCO
Hilfsarbeiter im Hochbau,9313,17.1,2.9,Industrie,54000,Keine Ausbildung,http://data.europa.eu/esco/occupation/fb7e2f4f-1545-42f1-972e-94082e49c6dc,Hochbauhelfer/Hochbauhelferin,"Hochbauhelfer übernehmen die Vorbereitung und Wartung von Hochbaumaßnahmen auf Baustellen. Sie führen Vorbereitungs- und Reinigungstätigkeiten durch, um spezialisierte Bauarbeiter zu unterstützen.",ESCO
Lehrkräfte im Bereich Sonderpädagogik,2352,16.7,86.8,Bildung,108000,Tertiär,http://data.europa.eu/esco/occupation/1f137f0b-7097-4583-9d1b-b69e57369319,Lehrassistent Sonderpädagogik/Lehrassistentin Sonderpädagogik,"Lehrassistenten Sonderpädagogik unterstützen sonderpädagogische Lehrkräfte im Unterricht. Sie kümmern sich in der Regel um die körperlichen Bedürfnisse von Schülern mit verschiedenen Behinderungen und unterstützen diese beim Gang zur Toilette, bei Busfahrten, bei Mahlzeiten und beim Wechsel des Unterrichtsraums. Darüber hinaus unterstützen sie Schüler, Lehrkräfte und Eltern im Hinblick auf den Unterricht und die Stundenvorbereitung. Lehrassistenten Sonderpädagogik unterstützen Schüler entsprechend ihren besonderen Bedürfnissen, helfen ihnen bei schwierigen Aufgaben und überwachen die Lernfortschritte und das Verhalten der Schüler.",ESCO
Versicherungsvertreter,3321,16.3,37.3,Finanzen,82000,Sekundär II,http://data.europa.eu/esco/occupation/a198de8c-24b1-4002-982f-a57ae6d6c19c,Versicherungsmakler/Versicherungsmaklerin,"Versicherungsmakler verkaufen Lebens-, Kranken-, Unfall-, Feuer- und andere Versicherungen an Einzelpersonen und Organisationen. Sie werben für diese Versicherungsprodukte und bieten Beratung dazu an. Außerdem sind sie als Mittler zwischen Einzelpersonen bzw. Organisationen und Versicherungsunternehmen tätig und handeln die besten Versicherungspolicen für ihre Kunden aus. Erforderlichenfalls schließen sie die Versicherung ab. Versicherungsmakler nehmen Kontakt mit neuen potenziellen Kunden auf und unterbreiten ihnen individuelle Angebote, unterstützen sie bei der Unterzeichnung neuer Versicherungsverträge und schlagen konkrete Lösungen für ihre spezifischen Probleme vor.",ESCO
Kosmetiker und verwandte Berufe,5142,15.3,97.6,Gastgewerbe,52000,Sekundär II,http://data.europa.eu/esco/occupation/a1e1a788-2352-4172-8fcf-1f985a6968b0,Kosmetiker/Kosmetikerin,"Kosmetiker bieten Behandlungen im Bereich der Hautpflege an. Sie wenden je nach Bedarf und Hauttyp ihrer Kunden verschiedene Gesichtsbehandlungen an, z. B. mit Lotionen, Scrubmassagen, Peelings und Masken, um die Haut gesund und attraktiv zu halten. Bisweilen bieten Kosmetiker können auch Nackenmassagen und Körperbehandlungen wie Wraps an. Kosmetiker entfernen unerwünschte Haare an verschiedenen Körperteilen wie Augenbrauen, Oberlippen oder dem Bikinibereich. Sie führen Gesichtsmassage aus und tragen Make-up für verschiedene Gelegenheiten auf.",ESCO
Zahnmedizinische Assistenten und Dentalhygieniker,3251,15.1,98.4,Gesundheit,68000,Sekundär II,http://data.europa.eu/esco/occupation/bdc74965-1d1a-4f8e-a490-9cf71f494e02,Zahnmedizinischer Fachangestellter/Zahnmedizinische Fachangestellte,"Zahnmedizinische Fachangestellte unterstützen Zahnärzte bei klinischen Behandlungen durch Vorbereitung, Assistenz und Nachbereitung. Sie führen unter der Aufsicht und nach den Anweisungen des Zahnarztes administrative Aufgaben aus.",ESCO
Vermögensverwalter/in / Wealth Manager,2413,15.0,28.0,Finanzen,180000,Tertiär,http://data.europa.eu/esco/occupation/e20eee17-4876-4f21-a0cb-5d7f40c63cd8,Vermögensverwalter/Vermögensverwalterin,"Vermögensverwalter investieren das Geld ihrer Kunden in finanzielle Vermögenswerte, z. B. Anlageinstrumente wie Investmentfonds, oder verwalten die Portfolios einzelner Kunden. Dazu gehört die Verwaltung der finanziellen Vermögenswerte im Rahmen einer bestimmten Anlagestrategie und eines bestimmten Risikorahmens, die Bereitstellung von Informationen sowie die Bewertung und Überwachung von Risiken.",ESCO
Elektroingenieur/in,2151,15.0,10.0,Industrie,122000,Tertiär,http://data.europa.eu/esco/occupation/e69697d0-2639-4aad-b73a-05e0b98357b1,Elektroingenieur Bergbau/Elektroingenieurin Bergbau,"Elektroingenieure Bergbau/Elektroingenieurinnen Bergbau beaufsichtigen die Beschaffung, Installation und Instandhaltung von elektrischen Bergbaugeräten mithilfe ihrer Elektrik- und Elektronikkenntnisse. Sie organisieren den Austausch und die Reparatur von elektrischen Geräten und Bauteilen.",ESCO
Berufsschullehrer/in,2320,15.0,35.0,Bildung,115000,Tertiär,http://data.europa.eu/esco/occupation/81f8d141-3f67-4fb0-a349-db0147ef7b3a,Lehrkraft im Bereich Berufsbildung,"Lehrkräfte im Bereich Berufsbildung unterrichten Schülerinnen/Schüler in ihrem Fachgebiet, was überwiegend praktischer Natur ist. Sie vermitteln theoretische Kenntnisse, um die praktischen Fertigkeiten und Techniken zu fördern, die die Schüler/Schülerinnen später beherrschen müssen, um in einem Beruf der von ihnen gewählten Fachrichtung zu arbeiten, und fördern die die Entwicklung der entsprechenden Einstellungen und Werte. Lehrkräfte im Bereich Berufsbildung überwachen die Fortschritte der Schülerinnen und Schüler, helfen bei Bedarf individuell und bewerten ihr Wissen und ihre Leistungen mithilfe von Aufgaben, Tests und Prüfungen.",ESCO
Filialleiter/in (Detailhandel),1420,15.0,55.0,Detailhandel,78000,Sekundär II,http://data.europa.eu/esco/occupation/bdfb48e0-79dc-4b63-8470-db2e03b37326,Verkaufsaufsichtskraft,"Verkaufsaufsichtskräfte sind für reibungslose Abläufe in Geschäften gemäß den gesetzlichen Vorschriften und den Unternehmensrichtlinien zuständig. Sie beaufsichtigen geschäftliche Tätigkeiten in den Bereichen Budget, Inventar und Kundendienst. Ferner überwachen Verkaufsaufsichtskräfte die Leistung der Mitarbeiter und stellen sicher, dass die Ziele erreicht werden.",ESCO
ÖV-Fahrer/in (Bus/Tram),8331,15.0,12.0,Transport,65000,Sekundär II,http://data.europa.eu/esco/occupation/3a15ec1b-9250-41a0-9344-feb2956481b7,Oberleitungsbusfahrer/Oberleitungsbusfahrerin,"Oberleitungsbusfahrer bedienen Oberleitungsbusse oder Linienbusse, nehmen Fahrpreise ein und betreuen Fahrgäste.",ESCO
ICT-Supporter/in,3512,15.0,15.0,ICT,80000,Sekundär II,http://data.europa.eu/esco/occupation/0ce5a9f4-e00a-4bbe-b255-3c63407167a4,IKT-Sicherheitsberater/IKT-Sicherheitsberaterin,IKT-Sicherheitsberater empfehlen und implementieren Lösungen für die Kontrolle des Zugangs zu Daten und Programmen. Sie fördern einen sicheren Informationsaustausch.,ESCO
Gärtner/in EFZ,6113,15.0,35.0,Landwirtschaft,56000,Sekundär II,http://data.europa.eu/esco/occupation/98af7387-3974-457a-aa57-5397d1ea3949,Landschaftsgärtner für Innenraumbegrünung/Landschaftsgärtnerin für Innenraumbegrünung,"Landschaftsgärtner für Innenraumbegrünung entwerfen, installieren, pflegen und erhalten Grünflächen in Innenräumen entsprechend den Anforderungen der Kunden.",ESCO
Sanitärinstallateur/in EFZ,7126,15.0,2.0,Bau,78000,Sekundär II,http://data.europa.eu/esco/occupation/ed3cf43d-c2c1-4c46-82fc-1375e27e0290,Gas- und Sanitärinstallateur/Gas- und Sanitärinstallateurin,"Gas- und Sanitärinstallateure warten und installieren Wasser-, Gas- und Abwassersysteme. Sie kontrollieren die Rohrleitungen und Armaturen regelmäßig und führen bei Bedarf Reparaturen aus. Sie biegen, schneiden und installieren Rohrleitungen. Sie testen die Systeme und nehmen auf sichere und vorschriftsmäßige Weise Anpassungen vor. Sie bringen Sanitäreinrichtungen an.",ESCO
