beruf,isco_code,beschaeftigte_1000,frauen_pct,branche,lohn_median_chf,qualifikation,esco_uri,esco_titel,esco_beschreibung,beschreibung_quelle
Köche,5120,48.9,34.6,Gastgewerbe,52000,Sekundär II,http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e,Koch/Köchin,"Köche sind in Küchen tätig und dafür qualifiziert, Lebensmittel – in der Regel in einem Privathaushalt, einer Institution oder einem Unternehmen – zuzubereiten und anzurichten.",ESCO
Landwirte mit Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt),6130,46.6,19.9,Landwirtschaft,52000,Sekundär II,http://data.europa.eu/esco/occupation/1c1e86f9-6347-42d6-aa6e-c95b138bf640,Landwirt/Landwirtin,Landwirte betreiben kleine Unternehmen oder sind Selbstversorger. Sie kümmern sich um alle Aspekte der Viehhaltung und des Pflanzenanbaus.,ESCO
Sekretär/in / Assistent/in,4120,45.0,88.0,Verwaltung,70000,Sekundär II,http://data.europa.eu/esco/occupation/5ac377d2-e1d0-4911-a299-b4ef2782a0ba,Sekretär/Sekretärin,"Sekretariatskräfte nehmen eine Vielzahl administrativer Aufgaben wahr, um reibungslose Abläufe innerhalb einer Organisation zu gewährleisten. Sie nehmen Telefonanrufe entgegen, verfassen und versenden E-Mails, führen Terminkalender, vereinbaren Treffen, nehmen Mitteilungen entgegen, archivieren Dokumente, organisieren und betreuen Sitzungen und verwalten Datenbanken.",ESCO
Hauswarte,5153,44.3,29.0,Gastgewerbe,52000,Sekundär II,http://data.europa.eu/esco/occupation/1822bfc2-e735-449f-ba00-ca71eb5c062b,Hauswart/Hauswartin,"Hauswarte halten Gebäude instand und überwachen ihren Zustand und ihre Sicherheit. Sie führen Reinigungsarbeiten aus, nehmen kleinere Reparaturen vor und sorgen dafür, dass den Bewohnern Heizung, Warmwasser und andere Versorgungseinrichtungen zur Verfügung stehen. Hausmeister sind für die Qualität der Gebäude verantwortlich und dienen auch als Ansprechpartner für die Bewohner.",ESCO
Fachkräfte in Marketing und Werbung,2431,43.9,50.5,Finanzen,115000,Tertiär,http://data.europa.eu/esco/occupation/4795d4e3-c623-47ff-abab-7de97fcb764e,Mediakäufer/Mediakäuferin,"Mediakäufer erwerben im Namen ihrer Kunden Werbeflächen bzw. -zeiten in Print-, Rundfunk- und Online-Medien. Sie analysieren die Wirksamkeit und Angemessenheit der verschiedenen Kanäle in Abhängigkeit von der Ware oder Dienstleistung, um eine Grundlage für die Entscheidungsfindung zu erhalten. Sie bemühen sich, einen möglichst günstigen Preis auszuhandeln, ohne die Qualität der Werbung zu beeinträchtigen. Sie unterstützen die Entwicklung und Umsetzung von Marketing- und Werbeplänen im Kommunikationsbereich, indem sie das geeignetste Medium auswählen.",ESCO
Verkäufer/in (ohne Ausbildung),5223,40.0,70.0,Detailhandel,50000,Sekundär II,http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df,Verkäufer/Verkäuferin,Verkäufer stehen in direktem Kontakt mit den Kunden. Sie bieten den Kunden allgemeine Beratung.,ESCO
Sachbearbeiter/in öff. Verwaltung,4416,40.0,58.0,Öff. Verwaltung,82000,Sekundär II,http://data.europa.eu/esco/occupation/d8ed1703-9c03-4ea0-83cc-b6169bc54ffd,Personalsachbearbeiter/Personalsachbearbeiterin,"Personalsachbearbeiter unterstützen Personalmanager bei allen Prozessen und Tätigkeiten. Sie helfen bei der Vorbereitung von Einstellungsverfahren, indem sie die eingegangenen Lebensläufe scannen und die Auswahl auf die am besten geeigneten Kandidaten beschränken. Sie erledigen Verwaltungsaufgaben, bereiten Mitteilungen und Schreiben vor und führen die Auswertung der Erhebungen und Bewertungen durch die Abteilung durch.",ESCO
Schalterbedienstete und Fachkräfte im Bereich Finanzdienstleistungen,4211,39.8,48.8,Verwaltung,68000,Sekundär II,http://data.europa.eu/esco/occupation/65bd2342-f7de-4932-9164-eb480e35a791,Fachkraft für Nutztierhaltung,"Fachkräfte für Nutztierhaltung bewahren die Gesundheit und das Wohlergehen von Tieren. Sie überwachen die Zucht/Produktion und die tägliche Pflege, z. B. die Fütterung und das Tränken von Tieren.",ESCO
Sekundarlehrer/in,2330,38.0,55.0,Bildung,110000,Tertiär,http://data.europa.eu/esco/occupation/5efb2c08-ba3a-4659-a2e4-1883f54e77b6,secondary school teacher,"Lehrkräfte Sekundarstufe unterrichten Schülerinnen und Schüler, in der Regel Kinder und junge Erwachsene, in einer Schule des Sekundarbereichs. Sie sind in der Regel Fachlehrkräfte, die in dem Fach ihrer Spezialisierung unterrichten. Sie erstellen Unterrichtspläne und -materialien, beobachten die Fortschritte der Schülerinnen und Schüler, bieten bei Bedarf ihre individuelle Hilfestellung und bewerten die Kenntnisse der Schülerinnen und Schüler anhand von Aufgaben, Tests und Prüfungen.",ESCO
Fachkräfte im Rechnungswesen,3313,36.2,58.7,Finanzen,82000,Sekundär II,http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897,Controller/Controllerin,"Controller/Controllerinnen prüfen und analysieren Jahresabschlüsse, Budgets, Finanzberichte und Geschäftspläne auf fehlerbedingte oder betrügerische Unregelmäßigkeiten und beraten ihre Kunden zu Themen wie Finanzprognose und Risikoanalyse.  Sie können Finanzdaten prüfen, Insolvenzfälle verwalten, Steuererklärungen erstellen und in Bezug auf die geltenden Rechtsvorschriften weitere Steuerberatung anbieten.",ESCO
Fachärzte,2212,36.0,46.6,Gesundheit,90000,Tertiär,http://data.europa.eu/esco/occupation/9b889f07-c39c-464d-b9d9-b2daa650f9ac,Facharzt/Fachärztin,Fachärzte/Fachärztinnen beugen Krankheiten vor und diagnostizieren und behandeln Krankheiten entsprechend ihrer medizinischen oder chirurgischen Spezialisierung.,ESCO
Sekretariatsfachkräfte in Verwaltung und Geschäftsleitung,3343,35.1,81.4,Finanzen,82000,Sekundär II,http://data.europa.eu/esco/occupation/2a04a1df-a3b9-403e-a245-e7f93fdddd44,Vorstandsassistent/Vorstandsassistentin,"Vorstandsassistenten sind hochrangige Verwaltungsfachkräfte, die in verschiedenen Branchen für Führungskräften oder in internationalen Einrichtungen arbeiten. Sie organisieren Sitzungen, ordnen und pflegen Akten, buchen Reisen, schulen Mitarbeiter, erledigen fremdsprachige Korrespondenz bzw. Kommunikation und leiten den täglichen Bürobetrieb.",ESCO
Pflegeassistent/in,5321,35.0,87.0,Gesundheit,55000,Sekundär II,http://data.europa.eu/esco/occupation/d38c2107-98f2-47b7-8bb4-f69750d51082,Pflegehelfer/Pflegehelferin,Pflegehelfer arbeiten im Team mit registrierten Krankenschwestern/Krankenpflegern in der Krankenpflege sowie der Pflege und Versorgung von Patienten aller Altersgruppen in allen Bereichen der Akut- und Erstversorgung.,ESCO
Geschäftsführer/in (KMU),1120,35.0,22.0,Verwaltung,160000,Tertiär,http://data.europa.eu/esco/occupation/4be4ea31-1211-4f0c-82bb-f6fe10791f4d,Geschäftsführer eines Flughafens/Geschäftsführerin eines Flughafens,"Geschäftsführer/Geschäftsführerinnen von Flughäfen leiten eine Gruppe von Flughafendirektoren/Flughafendirektorinnen, die für alle Bereiche des Flughafens zuständig sind. Sie planen die strategische Ausrichtung des Flughafens auf der Grundlage der Informationen ihres Managerteams.",ESCO
Lastwagenfahrer/in,8332,35.0,2.0,Transport,62000,Sekundär II,http://data.europa.eu/esco/occupation/45037d43-a8f5-4f46-b332-b2935bc305f4,Lastkraftwagenfahrer/Lastkraftwagenfahrerin,Lastkraftwagenfahrer bedienen Fahrzeuge wie Lastkraftwagen und Lieferwagen. Sie können auch das Auf- und Abladen von Ladung übernehmen.,ESCO
Führungskräfte in der Produktion von Waren,1321,33.8,20.7,Gastgewerbe,85000,Tertiär,http://data.europa.eu/esco/occupation/6426ada1-4d8c-4612-99e3-91bc569805ee,Führungskraft in der Produktion von Waren,,ESCO
Buchhalter/in,2411,32.0,57.0,Finanzen,98000,Tertiär,http://data.europa.eu/esco/occupation/eda0d957-3c3c-4139-b89a-a18bc9e18897,Controller/Controllerin,"Controller/Controllerinnen prüfen und analysieren Jahresabschlüsse, Budgets, Finanzberichte und Geschäftspläne auf fehlerbedingte oder betrügerische Unregelmäßigkeiten und beraten ihre Kunden zu Themen wie Finanzprognose und Risikoanalyse.  Sie können Finanzdaten prüfen, Insolvenzfälle verwalten, Steuererklärungen erstellen und in Bezug auf die geltenden Rechtsvorschriften weitere Steuerberatung anbieten.",ESCO
Spitex-Mitarbeiter/in,5322,30.0,89.0,Gesundheit,58000,Sekundär II,http://data.europa.eu/esco/occupation/b91034a0-1d3e-40e4-aced-07052ee0f9e9,Mitarbeiter in der Futtermittelherstellung/Mitarbeiterin in der Futtermittelherstellung,"Mitarbeiter in der Futtermittelherstellung bedienen verschiedene Maschinen für die Futtermittelherstellung in Industrieanlagen, z. B. Mischmaschinen, Abfüllmaschinen und Verlademaschinen.",ESCO
