beruf,isco_code,beschaeftigte_1000,frauen_pct,branche,lohn_median_chf,qualifikation
Kaufmann/-frau EFZ (allg. Richtung),4110,224.3,75.2,Verwaltung,72000,Sekundär II
Detailhandelsfachmann/-frau EFZ,5223,140.3,75.0,Detailhandel,58000,Sekundär II
Kassierer/in,5223,140.3,75.0,Detailhandel,48000,Sekundär II
Verkäufer/in (ohne Ausbildung),5223,140.3,75.0,Detailhandel,50000,Sekundär II
Geschäftsführer/in (KMU),1120,137.2,24.2,Verwaltung,160000,Tertiär
Dipl. Pflegefachperson,2221,96.5,84.5,Gesundheit,82000,Tertiär
Reinigungskraft / Hauswart,9112,81.5,84.3,Dienstleistungen,46000,Keine Ausbildung
Softwareentwickler/in,2512,71.4,13.1,ICT,130000,Tertiär
Informatiker/in EFZ (Applikationsentwicklung),2512,71.4,13.1,ICT,105000,Sekundär II
Hotelfachmann/-frau EFZ,5131,65.7,73.4,Gastgewerbe,58000,Sekundär II
Hauswirtschaftler/in EFZ,5131,65.7,73.4,Dienstleistungen,52000,Sekundär II
Servicemitarbeiter/in,5131,65.7,73.4,Gastgewerbe,48000,Sekundär II
Restaurantfachmann/-frau EFZ,5131,65.7,73.4,Gastgewerbe,52000,Sekundär II
Primarlehrer/in,2341,65.4,82.8,Bildung,102000,Tertiär
Führungskräfte in Vertrieb und Marketing,1221,55.2,36.5,Verwaltung,120000,Tertiär
Soziale Fachkräfte,3412,50.7,66.4,Soziales,72000,Sekundär II
Sekundarlehrer/in,2330,50.2,56.9,Bildung,110000,Tertiär
Gymnasiallehrer/in,2330,50.2,56.9,Bildung,120000,Tertiär
Köche,5120,48.9,34.6,Gastgewerbe,52000,Sekundär II
Landwirte mit Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt),6130,46.6,19.9,Landwirtschaft,52000,Sekundär II
Hauswarte,5153,44.3,29.0,Gastgewerbe,52000,Sekundär II
Fachkräfte in Marketing und Werbung,2431,43.9,50.5,Finanzen,115000,Tertiär
Pflegeassistent/in,5321,42.8,88.6,Gesundheit,55000,Sekundär II
Zimmermann/-frau EFZ,7115,41.5,4.3,Bau,76000,Sekundär II
Schalterbedienstete und Fachkräfte im Bereich Finanzdienstleistungen,4211,39.8,48.8,Verwaltung,68000,Sekundär II
Hochbauzeichner/in EFZ,3112,38.9,8.7,Bau,85000,Sekundär II
Fachperson Gesundheit EFZ (FaGe),3221,38.5,87.2,Gesundheit,62000,Sekundär II
Fachkräfte im Rechnungswesen,3313,36.2,58.7,Finanzen,82000,Sekundär II
Kinderbetreuerin/-betreuer,5311,36.2,92.4,Soziales,58000,Sekundär II
Fachärzte,2212,36.0,46.6,Gesundheit,90000,Tertiär
