beruf,isco_code,beschaeftigte_1000,frauen_pct,branche,lohn_median_chf,qualifikation
Sekretariatsfachkräfte in Verwaltung und Geschäftsleitung,3343,35.1,81.4,Finanzen,82000,Sekundär II
Elektriker/in EFZ,7411,34.1,1.3,Bau,80000,Sekundär II
Führungskräfte in der Produktion von Waren,1321,33.8,20.7,Gastgewerbe,85000,Tertiär
Spitex-Mitarbeiter/in,5322,33.4,81.7,Gesundheit,58000,Sekundär II
Buchhalter/in,2411,32.9,40.8,Finanzen,98000,Tertiär
Wirtschaftsprüfer/in,2411,32.9,40.8,Finanzen,130000,Tertiär
Controller/in,2411,32.9,40.8,Finanzen,110000,Tertiär
IT-Projektleiter/in,2511,32.2,20.6,ICT,130000,Tertiär
Sachbearbeiter/in Buchhaltung,4311,32.0,82.8,Finanzen,75000,Sekundär II
Architekt/in,2161,31.4,38.2,Bau,110000,Tertiär
Arztpraxisassistent/in,3256,31.3,96.1,Gesundheit,60000,Sekundär II
Drogist/in,3256,31.3,96.1,Detailhandel,62000,Sekundär II
Lastwagenfahrer/in,8332,30.2,5.3,Transport,62000,Sekundär II
"Reinigungs- und Hauswirtschaftleiter und -kräfte in Büros, Hotels und anderen Einrichtungen",5151,29.4,86.7,Gastgewerbe,52000,Sekundär II
Verkaufsfachkräfte,3322,29.2,35.6,Finanzen,82000,Sekundär II
Bauführer/in,3123,28.8,3.2,Bau,105000,Tertiär
Lagerist/in,4321,28.6,19.9,Transport,58000,Sekundär II
Technische Zeichner,3118,28.3,26.4,Industrie,88000,Sekundär II
Kraftfahrzeugmechaniker und -schlosser,7231,28.0,6.0,Industrie,78000,Sekundär II
Berufsberater und -analytiker und vergleichbare Spezialisten der Personalwesen,2423,27.6,75.4,Finanzen,115000,Tertiär
Coiffeur/Coiffeuse EFZ,5141,27.2,77.6,Dienstleistungen,48000,Sekundär II
Reinigungspersonal und Hilfskräfte in Privathaushalten,9111,26.8,96.7,Dienstleistungen,46000,Keine Ausbildung
Landmaschinen- und Industriemaschinenmechaniker und -schlosser,7233,26.6,2.9,Industrie,78000,Sekundär II
Sanitärinstallateur/in EFZ,7126,26.5,2.7,Bau,78000,Sekundär II
Gärtner/in EFZ,6113,25.7,18.4,Landwirtschaft,56000,Sekundär II
Projektleiter/in (allg.),2421,25.0,30.0,Verwaltung,120000,Tertiär
Unternehmensberater/in,2421,25.0,30.0,Beratung,140000,Tertiär
Kindergärtnerin/-gärtner,2342,24.8,95.9,Bildung,95000,Tertiär
Immobilienbewirtschafter/in,3334,24.2,48.3,Immobilien,88000,Sekundär II
Immobilienmakler/in,3334,24.2,48.3,Immobilien,95000,Sekundär II
Produktionsleiter bei der Herstellung von Waren,3122,22.0,17.7,Industrie,88000,Sekundär II
"Führungskräfte in der Beschaffung, Logistik und in verwandten Bereichen",1324,21.1,24.2,Gastgewerbe,85000,Tertiär
Compliance Officer,2412,20.8,30.2,Finanzen,130000,Tertiär
Treuhänder/in,2412,20.8,30.2,Finanzen,105000,Tertiär
Steuerberater/in,2412,20.8,30.2,Finanzen,120000,Tertiär
Polizisten (ohne Polizeikommissare),5412,20.5,22.6,Öff. Verwaltung,88000,Sekundär II
Küchenhilfe,9412,20.4,53.2,Gastgewerbe,44000,Keine Ausbildung
Physiotherapeut/in,2264,20.1,72.9,Gesundheit,78000,Tertiär
Führungskräfte im Bereich Finanzen,1211,19.9,39.0,Verwaltung,120000,Tertiär
Sozialarbeiter/in,2635,19.5,72.2,Soziales,88000,Tertiär
Sozialpädagoge/-pädagogin,2635,19.5,72.2,Soziales,82000,Tertiär
ÖV-Fahrer/in (Bus/Tram),8331,19.3,14.1,Transport,65000,Sekundär II
Maurer/in EFZ,7112,18.9,2.0,Bau,72000,Sekundär II
Sekretär/in / Assistent/in,4120,18.6,92.4,Verwaltung,70000,Sekundär II
"Sportlehrer, Sporttrainer und Sportfunktionäre",3422,18.5,50.0,Soziales,72000,Sekundär II
Maler/in und Gipser/in EFZ,7131,18.3,12.2,Bau,68000,Sekundär II
Sekretariatsleiter,3341,18.1,54.8,Finanzen,82000,Sekundär II
Lieferwagenfahrer/in,8322,18.0,8.4,Transport,55000,Sekundär II
Führungskräfte in Restaurants,1412,18.0,49.4,Gastgewerbe,75000,Tertiär
Hochschuldozent/in,2310,17.2,43.1,Bildung,130000,Tertiär
Psychologe/-pädagogin,2634,17.1,82.8,Gesundheit,90000,Tertiär
Hilfsarbeiter im Hochbau,9313,17.1,2.9,Industrie,54000,Keine Ausbildung
Lehrkräfte im Bereich Sonderpädagogik,2352,16.7,86.8,Bildung,108000,Tertiär
Rechtsanwalt/-anwältin,2611,16.6,42.5,Recht,155000,Tertiär
Versicherungsvertreter,3321,16.3,37.3,Finanzen,82000,Sekundär II
Kosmetiker und verwandte Berufe,5142,15.3,97.6,Gastgewerbe,52000,Sekundär II
Zahnmedizinische Assistenten und Dentalhygieniker,3251,15.1,98.4,Gesundheit,68000,Sekundär II
Leitende Verwaltungsbedienstete,1112,14.2,43.0,Verwaltung,150000,Tertiär
Sicherheitsbeauftragter/-beauftragte,5414,14.0,30.3,Sicherheit,65000,Sekundär II
"Bäcker, Konditoren und Konfektmacher",7512,14.0,52.5,Landwirtschaft,54000,Sekundär II
ICT-Supporter/in,3512,14.0,21.2,ICT,80000,Sekundär II
Datenwissenschaftler/in / Data Scientist,2514,13.8,11.5,ICT,135000,Tertiär
Pharmazeutische Techniker und Assistenten,3213,13.8,94.1,Gesundheit,68000,Sekundär II
UX/UI Designer/in,2166,13.7,52.1,ICT,110000,Tertiär
Technische Verkaufsfachkräfte (ohne Informations- und Kommunikationstechnologie),2433,13.7,17.1,Finanzen,115000,Tertiär
HR-Manager/in,1212,13.7,69.6,Verwaltung,115000,Tertiär
Grafiker/in,2166,13.7,52.1,Medien,80000,Tertiär
Notar/in,2619,13.4,55.6,Recht,145000,Tertiär
Automatiker und verwandte Berufe,7412,13.2,4.5,Industrie,72000,Sekundär II
"Uhrmacher, Uhrenarbeiter, Mikromechaniker",7311,13.1,56.0,Industrie,76000,Sekundär II
Bürokräfte in der Transportwirtschaft und verwandte Berufe,4323,12.7,21.4,Verwaltung,65000,Sekundär II
Vermögensverwalter/in / Wealth Manager,2413,12.7,29.6,Finanzen,180000,Tertiär
Sekretariatsfachkräfte im Gesundheitswesen,3344,12.7,97.7,Finanzen,82000,Sekundär II
Finanzanalyst/in,2413,12.7,29.6,Finanzen,140000,Tertiär
Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie,1330,12.4,12.5,Gastgewerbe,85000,Tertiär
Verkaufsaufsichtskräfte in Handelsgeschäften,5222,12.2,63.9,Detailhandel,56000,Sekundär II
Fachkräfte für Rechts- und verwandte Angelegenheiten,3411,12.1,65.5,Soziales,72000,Sekundär II
Qualitätsmanager/in,2146,12.0,35.0,Industrie,110000,Tertiär
Automatiker/in EFZ,3115,12.0,8.8,Industrie,82000,Sekundär II
Frachtarbeiter und verwandte Berufe,9333,12.0,29.4,Industrie,54000,Keine Ausbildung
Lernbetreuer,5312,11.8,84.9,Soziales,58000,Sekundär II
Physiotherapeutische Techniker und Assistenten,3255,11.7,85.3,Gesundheit,68000,Sekundär II
"Führer von Erdbewegungs- und verwandten Maschinen, Strassenbau und Baumaschinen",8342,11.7,,Transport,62000,Sekundär II
Statistiker/in / Aktuar/in,2120,11.4,27.9,Finanzen,125000,Tertiär
Berufsschullehrer/in,2320,11.3,55.2,Bildung,115000,Tertiär
Boden- und Fliesenleger,7122,11.2,,Bau,74000,Sekundär II
Führungskräfte in Unternehmenspolitik und -planung,1213,11.1,33.0,Verwaltung,120000,Tertiär
Maschinenbauingenieur/in,2144,10.6,4.3,Industrie,120000,Tertiär
Hilfsarbeiter im Tiefbau,9312,10.4,3.0,Industrie,54000,Keine Ausbildung
Einkäufer,3323,10.3,41.1,Finanzen,82000,Sekundär II
Führungskräfte in der Erbringung von Dienstleistungen des Bildungswesens,1345,10.3,54.7,Gastgewerbe,85000,Tertiär
Empfangskräfte (allgemein),4226,10.3,83.5,Verwaltung,68000,Sekundär II
Journalisten,2642,10.2,48.5,Medien,88000,Tertiär
Baumetallverformer und Metallbauer,7214,10.1,1.9,Industrie,78000,Sekundär II
Bauingenieur/in,2142,10.0,9.2,Bau,115000,Tertiär
"Biologen, Botaniker, Zoologen und verwandte Berufe",2131,9.9,50.2,Industrie,115000,Tertiär
Koch/Köchin EFZ,3434,9.6,15.4,Gastgewerbe,58000,Sekundär II
Barkeeper,5132,9.5,57.0,Gastgewerbe,52000,Sekundär II
Führungskräfte in Forschung und Entwicklung,1223,9.4,25.1,Verwaltung,120000,Tertiär
Prozess- und Produktionsingenieure,2141,9.3,20.0,Industrie,115000,Tertiär
Musiklehrer,2354,9.1,52.6,Bildung,108000,Tertiär
Elektroplaner/in EFZ,3113,9.0,7.2,Bau,85000,Sekundär II
Chemielaborant/in EFZ,3113,9.0,7.2,Industrie,78000,Sekundär II
Kassierer und Kartenverkäufer,5230,8.8,85.1,Detailhandel,56000,Sekundär II
Sprachlehrer,2353,8.8,86.0,Bildung,108000,Tertiär
Sachbearbeiter/in öff. Verwaltung,4416,8.7,84.8,Öff. Verwaltung,82000,Sekundär II
Postverteiler und -sortierer,4412,8.7,43.4,Verwaltung,62000,Sekundär II
Sachbearbeiter/in HR,4416,8.7,84.8,Verwaltung,82000,Sekundär II
Polymechaniker/in EFZ,7223,8.6,10.9,Industrie,78000,Sekundär II
Medizintechniker im Bereich bildgebende Verfahren und Therapiegeräte,3211,8.5,72.5,Gesundheit,68000,Sekundär II
Polizist/in,3355,8.5,19.9,Öff. Verwaltung,95000,Sekundär II
Bankkaufmann/-frau,3311,8.5,24.7,Finanzen,92000,Sekundär II
Chemo- und Physikotechniker,3111,8.4,56.1,Industrie,88000,Sekundär II
"Bürokräfte in der Statistik, im Finanz- und Versicherungswesen",4312,8.2,73.7,Verwaltung,65000,Sekundär II
"Metzger, Fischhändler und -verarbeiter und verwandte Berufe",7511,8.1,22.4,Landwirtschaft,54000,Sekundär II
Techniker für den Betrieb von Informations- und Kommunikationstechnologie,3511,8.0,21.8,ICT,85000,Sekundär II
Spezialisten der traditionellen und komplementären Medizin,2230,7.9,80.7,Gesundheit,90000,Tertiär
Marketing-/Kommunikationsleiter/in,1222,7.9,65.6,Verwaltung,120000,Tertiär
Elektroingenieur/in,2151,7.7,4.3,Industrie,122000,Tertiär
Zugbegleiter/in / Lokführer/in,8311,7.7,5.0,Transport,80000,Sekundär II
Führungskräfte in der Produktion im Bau,1323,7.6,4.4,Gastgewerbe,85000,Tertiär
"Musiker, Sänger und Komponisten",2652,7.6,35.7,Medien,88000,Tertiär
Trainer und Betreuer im Bereich Fitness und Erholung,3423,7.5,53.1,Soziales,72000,Sekundär II
Handelsmakler,3324,7.4,28.7,Finanzen,82000,Sekundär II
Reisebegleiter und Stewards,5111,7.4,70.4,Gastgewerbe,52000,Sekundär II
Führungskräfte in Hotels,1411,7.4,38.9,Gastgewerbe,75000,Tertiär
Bediener von Maschinen zur Herstellung von Nahrungs- und Genussmitteln,8160,7.3,32.4,Industrie,64000,Sekundär II
Bürokräfte in der Material- und Fertigungsplanung und verwandte Berufe,4322,7.2,36.1,Verwaltung,65000,Sekundär II
"Kranführer, Aufzugmaschinisten und Bediener verwandter Hebeeinrichtungen",8343,7.1,7.3,Transport,62000,Sekundär II
Mechatroniker/in EFZ,7421,7.1,12.8,Industrie,85000,Sekundär II
Leiter eines Einzelhandelsgeschäftes,5221,7.1,58.2,Detailhandel,56000,Sekundär II
Medizintechniker im Bereich Labor und Pathologie,3212,7.1,79.4,Gesundheit,68000,Sekundär II
Raumgestalter und Dekorateure,3432,7.0,64.4,Soziales,72000,Sekundär II
Systemadministrator/in,2522,7.0,5.7,ICT,110000,Tertiär
Produkttester und -klassierer (ohne Nahrungsmittel und Getränke),7543,6.9,54.4,Landwirtschaft,54000,Sekundär II
Fachkräfte in Personalschulung und -entwicklung,2424,6.9,45.1,Finanzen,115000,Tertiär
"Gipser, Trockenbauer",7123,6.9,,Bau,74000,Sekundär II
Fachkräfte in Sozialverwaltung und -versicherung,3353,6.8,77.5,Finanzen,82000,Sekundär II
Bediener von Anlagen und Maschinen für chemische Erzeugnisse,8131,6.7,23.0,Industrie,64000,Sekundär II
Hilfsarbeiter in Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt),9213,6.7,53.0,Dienstleistungen,44000,Keine Ausbildung
Arzt/Ärztin (Allgemeinmedizin),2211,6.7,53.8,Gesundheit,165000,Tertiär
IT-Sicherheitsspezialist/in,2529,6.6,9.9,ICT,135000,Tertiär
Führungskräfte in der Erbringung von Finanz- und Versicherungsdienstleistungen,1346,6.5,23.3,Gastgewerbe,85000,Tertiär
Pädagogik- und Didaktikspezialisten,2351,6.5,66.2,Bildung,108000,Tertiär
Regisseure und Produzenten im Film- und Bühnenbereich sowie in verwandten Bereichen,2654,6.5,40.2,Medien,88000,Tertiär
Zahnarzt/-ärztin,2261,6.4,52.2,Gesundheit,160000,Tertiär
Isolierer,7124,6.2,,Bau,74000,Sekundär II
Hilfsarbeiter im Gartenbau,9214,6.2,20.5,Dienstleistungen,44000,Keine Ausbildung
Apotheker/in,2262,6.1,76.7,Gesundheit,110000,Tertiär
Konferenz- und Veranstaltungsplaner,3332,6.0,64.0,Finanzen,82000,Sekundär II
Geistliche Seelsorger,2636,5.9,27.5,Medien,88000,Tertiär
Techniker für Rundfunk und audiovisuelle Medien,3521,5.7,21.7,ICT,85000,Sekundär II
"Übersetzer, Dolmetscher und andere Linguisten",2643,5.7,77.3,Medien,88000,Tertiär
Datenbankentwickler und -administratoren,2521,5.6,29.0,ICT,120000,Tertiär
Produkt- und Textildesigner,2163,5.3,49.3,Industrie,115000,Tertiär
Reiseverkehrsfachkräfte,4221,5.3,77.2,Verwaltung,68000,Sekundär II
Versicherungsexperte/-expertin,2422,5.1,53.9,Versicherungen,115000,Tertiär
PR-Spezialist/in,2432,5.0,66.8,Medien,95000,Tertiär
Projektleiter/in (Technik),2149,4.9,17.1,Industrie,125000,Tertiär
Journalist/in / Redakteur/in,2641,4.4,52.2,Medien,90000,Tertiär
Logistiker/in EFZ,3331,3.7,61.6,Transport,65000,Sekundär II
Netzwerkingenieur/in,2523,3.3,11.5,ICT,115000,Tertiär
Filialleiter/in (Detailhandel),1420,3.2,24.5,Detailhandel,78000,Sekundär II
Naturwissenschaftler/in (Biologie/Chemie),2113,3.0,25.9,Industrie,105000,Tertiär
Chemieingenieur/in / Verfahrenstechniker/in,2145,2.5,20.9,Industrie,118000,Tertiär
Ökonom/in / Volkswirt/in,2631,2.4,39.6,Finanzen,120000,Tertiär
Produktionsmitarbeiter/in (Pharma),8211,2.2,10.9,Industrie,68000,Sekundär II
Maschinenführer/in,8211,2.2,10.9,Industrie,62000,Sekundär II
Versicherungskaufmann/-frau,3312,2.1,35.7,Versicherungen,88000,Sekundär II
Landwirt/in EFZ,6111,2.1,35.5,Landwirtschaft,52000,Sekundär II
Feuerwehrmann/-frau,5411,2.1,4.4,Öff. Verwaltung,88000,Sekundär II
Umweltingenieur/in,2143,1.7,39.8,Umwelt,105000,Tertiär
Posthalter/in / Logistiker/in Post,4415,1.5,71.6,Transport,68000,Sekundär II
Telematiker/in EFZ,3522,1.3,5.0,ICT,80000,Sekundär II
